t_seconds,phase,pkg_mC,ec_hex
0,idle,43000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252500000000000000000000000102011520800c882c800c000001ac01e00a822f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
2,idle,43000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252500000000000000000000000102011520800c882c800c000001ac01e00a7c2f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
3,idle,43000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252500000000000000000000000102011520800c882c800c000001ac01e00a7f2f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
4,idle,43000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252500000000000000000000000102011520800c882c800c000001b701e00a702f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
5,idle,43000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252500000000000000000000000102011520800c882c800c000001b701e00a7f2f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
6,idle,43000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252500000000000000000000000102011520800c882c800c000001b701e00a792f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
8,idle,43000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252500000000000000000000000102011520800c882c800c000001b701e00a7c2f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
9,idle,43000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252500000000000000000000000102011520800c882c800c000001b701e00a522f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
10,idle,44000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252500000000000000000000000102011520800c882c800c000001b701e00a492f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
11,idle,43000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252500000000000000000000000102011520800c882c800c000001b701e00a732f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
13,idle,43000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252500000000000000000000000102011520800c882c800c000001c301e00a7f2f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
14,idle,44000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252500000000000000000000000102011520800c882c800c000001c301e00a5b2f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
15,idle,43000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252500000000000000000000000102011520800c882c800c000001d001e00a732f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
16,idle,44000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252500000000000000000000000102011520800c882c800c000001d001e00a882f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
18,idle,43000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252500000000000000000000000102011520800c882c800c000001d001e00a792f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
19,idle,42000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252600000000000000000000000102011520800c882c800c000001d001e00a8e2f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
20,idle,43000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252600000000000000000000000102011520800c882c800c000001b701e00a882f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
21,idle,43000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252600000000000000000000000102011520800c882c800c000001b701e00a672f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
22,idle,43000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252600000000000000000000000102011520800c882c800c000001b701e00a942f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
24,idle,43000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252600000000000000000000000102011520800c882c800c000001b701e00a882f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
25,idle,43000,00040000000000000b002e07e8051f00000000190100000102010000000000001a000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024000000000000000000000000002d2d252600000000000000000000000102011520800c882c800c000001ac01e00a8b2f5700000000000000000000000000c201000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000
